Pilsner（ピルスナー）,チェコ・プルゼニュ、下面、爽快な風味の淡色ビールで世界で最も普及。日本の淡色ビールも多数がこのタイプ,ビール
Bock（ボック）,ドイツ・アインベック、下面、元は濃色だったが現在は淡色が多い。芳醇でコクがありアルコール度数が高い,ビール
Alt（アルト）,ドイツ・デュッセルドルフ、上面、濃色でホップ香味が強い,ビール
Weizen（ヴァイツェン）,ドイツ・バイエルン地方、上面、小麦麦芽を使用。苦味が少なく炭酸ガスが高く清涼感がある。淡色が多い,ビール
Ale（エール）,イギリス、上面、ペールエール、IPA、マイルドエール、スコッチエールなど多様な種類がある,ビール
Stout（スタウト）,アイルランド・ダブリンなど、上面、濃厚でホップの苦味が強い濃色ビール。砂糖が許可された甘口のスイートスタウトもある,ビール
Porter（ポーター）,イギリス・ロンドン、上面、ロンドンの荷物運搬人(ポーター)が好んだ。濃厚でホップの苦みの強い濃色ビール,ビール
Trappist（トラピスト）,ベルギー、上面、修道院で造られていた古いビール。濃色で瓶中での後発酵も行われる,ビール
Lambic（ランビック）,ベルギー・ブリュッセル地方、野生酵母による自然発酵、1～2年かけ発酵させるため酸味や特有の香りがある。フルーツビールもある,ビール
